DestinationID,Name,Latitude,Longitude,Characteristics
1,Munnar Tea Garden View Point,10.04210568,77.03994022,"scenic, tea, photography"
2,Pomathendu Munnar Tea Garden View,10.05964864,77.06395959,"scenic, tea, photography"
3,Munnar Pothamendu,10.03655632,77.07679666,"tea, greenery, serene"
4,Munnar Tea Hill Hiking Spot,10.02838226,77.04557394,"trekking, nature, adventure"
5,Wonder Valley Adventure Amusement Park Munnar,10.02715884,77.0355704,"adventure, amusement, family"
6,Dream Land Adventure Amusement Park,10.01670304,77.04700451,"adventure, amusement, family"
7,Munnar Lakshmi Tea Estate,10.06375952,76.99922583,"scenic, tea, photography"
8,Photo Shoot Point Munnar,10.05998273,77.01679705,"photography, nature"
9,Munnar Tea Museum,10.09424312,77.05040434,"tea, artifacts, exhibits"
10,Kolukammai Tea Estate-Jeep Tour and Birdwatching,10.08889248,77.05945595,"tea, explore, birdwatching"
11,Munnar Botanical Estate,10.08306517,77.07088651,"garden, flora, education"
12,Blossom Hudel Park-Garden,10.06907829,77.0665441,"relaxation, greenery, garden"
13,Ramaswamy Dam Lake View Point,10.06812788,77.06735203,"dam, photography, boating"
14,Carmelgiri Elepphant Park,10.09514322,77.09931319,"elephant, wildlife,  photography"
15,Eco Point Munnar-Lake,10.12229322,77.15435932,"tourism, nature, serene"
16,Matupettu Dam Lake,10.10856877,77.12380898,"dam, boating, scenic"
17,Munnar Rose Garden,10.08638901,77.07583206,"rose, floral, aroma, garden"
18,Attukkad Waterfall Munnar,10.05337705,77.05872179,"waterfall, nature, photography"
19,Munnar Forest Adventure,10.08458313,77.06041801,"adventure, nature, wildlife"
20,Birla Waterfall,10.30518545,76.94875998,"waterfall, serene, photography"
21,Sholayar Lake Dam View PT,10.307557,76.88649688,"dam, photography, nature"
22,Chinna Kalar Waterfall,10.3023814,77.02870892,"waterfall, serene, photography"
23,Iraichal Parai Waterfall,10.33713775,77.00832747,"waterfall, nature, photography"
24,Valparai Market,10.32564473,76.95292258,"market, shopping"
25,Thirumoorthy Waterfall and Temple,10.45129067,77.1595609,"waterfall, temple, photography"
26,Munnar Town Centre Bazaar,10.08676436,77.06108206,"market, shopping"
27,Tea Estate Poothakuzzy,10.09293264,77.05653258,"tea, scenic, plantation"
